date,name,relative_popularity,nationality,page_views,edits,profession,popular
2016-02-29,Anushka Shetty,25.25,IN-KA,150464,9,Cinema,yes
2016-03-31,Anushka Shetty,28.5,IN-KA,162981,9,Cinema,yes
2016-04-30,Anushka Shetty,27.5,IN-KA,151360,7,Cinema,yes
2016-05-31,Anushka Shetty,29.6,IN-KA,171080,20,Cinema,yes
2016-06-30,Anushka Shetty,30.25,IN-KA,172295,12,Cinema,yes
2016-07-31,Anushka Shetty,29.2,IN-KA,164405,7,Cinema,yes
2016-08-31,Anushka Shetty,25.0,IN-KA,138923,3,Cinema,yes
2016-09-30,Anushka Shetty,25.0,IN-KA,145798,4,Cinema,yes
2016-10-31,Anushka Shetty,25.6,IN-KA,145098,5,Cinema,yes
2016-11-30,Anushka Shetty,24.25,IN-KA,141713,0,Cinema,yes
2016-12-31,Anushka Shetty,24.0,IN-KA,126331,5,Cinema,yes
2017-01-31,Anushka Shetty,21.2,IN-KA,142118,3,Cinema,no
2017-02-28,Anushka Shetty,21.75,IN-KA,152857,17,Cinema,yes
2017-03-31,Anushka Shetty,24.5,IN-KA,209251,26,Cinema,yes
2017-04-30,Anushka Shetty,44.0,IN-KA,423907,9,Cinema,yes
2017-05-31,Anushka Shetty,80.75,IN-KA,1525717,29,Cinema,yes
2017-06-30,Anushka Shetty,53.25,IN-KA,364916,19,Cinema,yes
2017-07-31,Anushka Shetty,38.4,IN-KA,203484,4,Cinema,yes
2017-08-31,Anushka Shetty,29.5,IN-KA,174468,2,Cinema,yes
2017-09-30,Anushka Shetty,23.5,IN-KA,137715,1,Cinema,yes
2017-10-31,Anushka Shetty,31.0,IN-KA,225357,3,Cinema,yes
2017-11-30,Anushka Shetty,29.25,IN-KA,174826,9,Cinema,yes
2017-12-31,Anushka Shetty,31.2,IN-KA,143669,4,Cinema,yes
2018-01-31,Anushka Shetty,30.25,IN-KA,191256,3,Cinema,yes
2018-02-28,Anushka Shetty,25.75,IN-KA,144811,3,Cinema,yes
2018-03-31,Anushka Shetty,25.5,IN-KA,145985,2,Cinema,yes
2018-04-30,Anushka Shetty,27.8,IN-KA,134827,1,Cinema,yes
2018-05-31,Anushka Shetty,27.25,IN-KA,131893,6,Cinema,yes
2018-06-30,Anushka Shetty,27.5,IN-KA,116592,2,Cinema,yes
2018-07-31,Anushka Shetty,24.4,IN-KA,125631,2,Cinema,yes
2018-08-31,Anushka Shetty,26.0,IN-KA,126674,7,Cinema,yes
2018-09-30,Anushka Shetty,26.4,IN-KA,112553,1,Cinema,yes
2018-10-31,Anushka Shetty,29.25,IN-KA,118754,2,Cinema,yes
2018-11-30,Anushka Shetty,28.25,IN-KA,128358,2,Cinema,yes
2018-12-31,Anushka Shetty,28.2,IN-KA,170624,9,Cinema,yes
2019-01-31,Anushka Shetty,27.5,IN-KA,135917,0,Cinema,yes
2019-02-28,Anushka Shetty,25.0,IN-KA,99063,5,Cinema,yes
2019-03-31,Anushka Shetty,25.0,IN-KA,96232,1,Cinema,yes
2019-04-30,Anushka Shetty,25.25,IN-KA,90662,1,Cinema,yes
2019-05-31,Anushka Shetty,23.75,IN-KA,99581,1,Cinema,yes
2019-06-30,Anushka Shetty,22.8,IN-KA,102523,8,Cinema,yes
2019-07-31,Anushka Shetty,23.5,IN-KA,112444,29,Cinema,yes
2019-08-31,Anushka Shetty,22.0,IN-KA,162204,3,Cinema,yes
2019-09-30,Anushka Shetty,20.0,IN-KA,129471,3,Cinema,no
2019-10-31,Anushka Shetty,21.5,IN-KA,102491,5,Cinema,no
2019-11-30,Anushka Shetty,21.0,IN-KA,119896,4,Cinema,no
2019-12-31,Anushka Shetty,18.4,IN-KA,102868,1,Cinema,no
2020-01-31,Anushka Shetty,17.0,IN-KA,92912,0,Cinema,no
2020-02-29,Anushka Shetty,18.0,IN-KA,95485,3,Cinema,no
2020-03-31,Anushka Shetty,21.6,IN-KA,166406,1,Cinema,yes
2020-04-30,Anushka Shetty,22.0,IN-KA,165984,1,Cinema,yes
2020-05-31,Anushka Shetty,20.6,IN-KA,139603,5,Cinema,no
2020-06-30,Anushka Shetty,20.25,IN-KA,107399,4,Cinema,no
2020-07-31,Anushka Shetty,22.0,IN-KA,125076,2,Cinema,yes
2020-08-31,Anushka Shetty,20.4,IN-KA,105957,0,Cinema,no
2020-09-30,Anushka Shetty,23.0,IN-KA,101840,18,Cinema,yes
2020-10-31,Anushka Shetty,21.25,IN-KA,121743,16,Cinema,no
2020-11-30,Anushka Shetty,19.6,IN-KA,112436,20,Cinema,no
2020-12-31,Anushka Shetty,18.75,IN-KA,104066,9,Cinema,no
2016-01-31,Kamal Haasan,22.6,IN-TN,150639,29,Cinema,yes
2016-02-29,Kamal Haasan,22.25,IN-TN,123285,52,Cinema,yes
2016-03-31,Kamal Haasan,22.25,IN-TN,151276,49,Cinema,yes
2016-04-30,Kamal Haasan,22.75,IN-TN,151503,20,Cinema,yes
2016-05-31,Kamal Haasan,21.6,IN-TN,137234,31,Cinema,yes
2016-06-30,Kamal Haasan,21.25,IN-TN,145385,30,Cinema,no
2016-07-31,Kamal Haasan,28.6,IN-TN,160121,25,Cinema,yes
2016-08-31,Kamal Haasan,27.25,IN-TN,150095,41,Cinema,yes
2016-09-30,Kamal Haasan,22.75,IN-TN,124685,39,Cinema,yes
2016-10-31,Kamal Haasan,32.0,IN-TN,119276,17,Cinema,yes
2016-11-30,Kamal Haasan,29.75,IN-TN,253648,57,Cinema,yes
2016-12-31,Kamal Haasan,28.25,IN-TN,134056,20,Cinema,yes
2017-01-31,Kamal Haasan,24.6,IN-TN,134576,18,Cinema,yes
2017-02-28,Kamal Haasan,27.25,IN-TN,108538,31,Cinema,yes
2017-03-31,Kamal Haasan,26.25,IN-TN,135970,32,Cinema,yes
2017-04-30,Kamal Haasan,23.2,IN-TN,113137,34,Cinema,yes
2017-05-31,Kamal Haasan,24.25,IN-TN,124885,25,Cinema,yes
2017-06-30,Kamal Haasan,24.5,IN-TN,114198,17,Cinema,yes
2017-07-31,Kamal Haasan,39.6,IN-TN,217019,42,Cinema,yes
2017-08-31,Kamal Haasan,36.0,IN-TN,186885,48,Cinema,yes
2017-09-30,Kamal Haasan,35.75,IN-TN,174236,36,Cinema,yes
2017-10-31,Kamal Haasan,32.4,IN-TN,147668,51,Cinema,yes
2017-11-30,Kamal Haasan,37.5,IN-TN,234734,74,Cinema,yes
2017-12-31,Kamal Haasan,25.0,IN-TN,105467,32,Cinema,yes
2018-01-31,Kamal Haasan,24.0,IN-TN,127017,39,Cinema,yes
2018-02-28,Kamal Haasan,51.75,IN-TN,230077,65,Cinema,yes
2018-03-31,Kamal Haasan,28.5,IN-TN,166093,27,Cinema,yes
2018-04-30,Kamal Haasan,24.6,IN-TN,99371,34,Cinema,yes
2018-05-31,Kamal Haasan,24.5,IN-TN,99358,37,Cinema,yes
2018-06-30,Kamal Haasan,29.0,IN-TN,145779,32,Cinema,yes
2018-07-31,Kamal Haasan,31.2,IN-TN,161335,44,Cinema,yes
2018-08-31,Kamal Haasan,47.75,IN-TN,364385,113,Cinema,yes
2018-09-30,Kamal Haasan,28.8,IN-TN,124279,10,Cinema,yes
2018-10-31,Kamal Haasan,28.25,IN-TN,116885,5,Cinema,yes
2018-11-30,Kamal Haasan,32.5,IN-TN,142035,9,Cinema,yes
2018-12-31,Kamal Haasan,31.4,IN-TN,120187,5,Cinema,yes
2019-01-31,Kamal Haasan,27.5,IN-TN,118931,12,Cinema,yes
2019-02-28,Kamal Haasan,27.25,IN-TN,106225,2,Cinema,yes
2019-03-31,Kamal Haasan,27.4,IN-TN,100354,3,Cinema,yes
2019-04-30,Kamal Haasan,26.0,IN-TN,94899,4,Cinema,yes
2019-05-31,Kamal Haasan,36.75,IN-TN,206386,3,Cinema,yes
2019-06-30,Kamal Haasan,22.4,IN-TN,104793,4,Cinema,yes
2019-07-31,Kamal Haasan,24.5,IN-TN,134778,8,Cinema,yes
2019-08-31,Kamal Haasan,26.0,IN-TN,168533,17,Cinema,yes
2019-09-30,Kamal Haasan,23.4,IN-TN,158130,29,Cinema,yes
2019-10-31,Kamal Haasan,23.75,IN-TN,141161,35,Cinema,yes
2019-11-30,Kamal Haasan,36.75,IN-TN,286727,56,Cinema,yes
2019-12-31,Kamal Haasan,27.4,IN-TN,206473,31,Cinema,yes
2020-01-31,Kamal Haasan,22.75,IN-TN,140322,29,Cinema,yes
2020-02-29,Kamal Haasan,21.5,IN-TN,115318,7,Cinema,no
2020-03-31,Kamal Haasan,22.6,IN-TN,158618,33,Cinema,yes
2020-04-30,Kamal Haasan,28.75,IN-TN,241144,18,Cinema,yes
2020-05-31,Kamal Haasan,25.0,IN-TN,210644,41,Cinema,yes
2020-06-30,Kamal Haasan,21.75,IN-TN,148511,42,Cinema,yes
2020-07-31,Kamal Haasan,21.5,IN-TN,149166,35,Cinema,no
2020-08-31,Kamal Haasan,21.8,IN-TN,148031,5,Cinema,yes
2020-09-30,Kamal Haasan,23.75,IN-TN,149139,5,Cinema,yes
2020-10-31,Kamal Haasan,22.5,IN-TN,155759,5,Cinema,yes
2020-11-30,Kamal Haasan,34.2,IN-TN,235130,3,Cinema,yes
2020-12-31,Kamal Haasan,25.5,IN-TN,174801,4,Cinema,yes
2016-01-31,Mary Kom,13.6,IN-MN,61850,2,Sports,no
2016-02-29,Mary Kom,11.75,IN-MN,60837,5,Sports,no
2016-03-31,Mary Kom,12.0,IN-MN,50772,10,Sports,no
2016-04-30,Mary Kom,11.75,IN-MN,48462,17,Sports,no
2016-05-31,Mary Kom,11.8,IN-MN,51307,14,Sports,no
2016-06-30,Mary Kom,13.75,IN-MN,71412,5,Sports,no
2016-07-31,Mary Kom,15.4,IN-MN,63489,6,Sports,no
2016-08-31,Mary Kom,21.75,IN-MN,138189,5,Sports,yes
2016-09-30,Mary Kom,11.0,IN-MN,41580,15,Sports,no
2016-10-31,Mary Kom,11.0,IN-MN,43717,7,Sports,no
2016-11-30,Mary Kom,10.0,IN-MN,42710,8,Sports,no
2016-12-31,Mary Kom,10.5,IN-MN,41077,38,Sports,no
2017-01-31,Mary Kom,10.0,IN-MN,45799,3,Sports,no
2017-02-28,Mary Kom,9.0,IN-MN,29882,8,Sports,no
2017-03-31,Mary Kom,7.75,IN-MN,33251,4,Sports,no
2017-04-30,Mary Kom,7.6,IN-MN,26003,5,Sports,no
2017-05-31,Mary Kom,8.5,IN-MN,34060,5,Sports,no
2017-06-30,Mary Kom,10.0,IN-MN,46651,13,Sports,no
2017-07-31,Mary Kom,10.6,IN-MN,42314,3,Sports,no
2017-08-31,Mary Kom,10.0,IN-MN,41675,6,Sports,no
2017-09-30,Mary Kom,10.75,IN-MN,60951,5,Sports,no
2017-10-31,Mary Kom,8.2,IN-MN,38878,4,Sports,no
2017-11-30,Mary Kom,13.75,IN-MN,57890,7,Sports,no
2017-12-31,Mary Kom,11.4,IN-MN,54753,7,Sports,no
2018-01-31,Mary Kom,10.75,IN-MN,48018,2,Sports,no
2018-02-28,Mary Kom,10.5,IN-MN,44036,0,Sports,no
2018-03-31,Mary Kom,9.75,IN-MN,41767,5,Sports,no
2018-04-30,Mary Kom,19.2,IN-MN,87546,9,Sports,no
2018-05-31,Mary Kom,9.0,IN-MN,41131,1,Sports,no
2018-06-30,Mary Kom,10.75,IN-MN,59266,8,Sports,no
2018-07-31,Mary Kom,12.0,IN-MN,57613,5,Sports,no
2018-08-31,Mary Kom,14.75,IN-MN,60937,10,Sports,no
2018-09-30,Mary Kom,14.2,IN-MN,53259,4,Sports,no
2018-10-31,Mary Kom,15.5,IN-MN,49664,5,Sports,no
2018-11-30,Mary Kom,52.75,IN-MN,180772,64,Sports,yes
2018-12-31,Mary Kom,19.4,IN-MN,94949,10,Sports,no
2019-01-31,Mary Kom,21.75,IN-MN,103206,14,Sports,yes
2019-02-28,Mary Kom,14.0,IN-MN,54025,1,Sports,no
2019-03-31,Mary Kom,13.6,IN-MN,56706,6,Sports,no
2019-04-30,Mary Kom,7.5,IN-MN,27503,5,Sports,no
2019-05-31,Mary Kom,8.5,IN-MN,34931,21,Sports,no
2019-06-30,Mary Kom,11.4,IN-MN,61812,29,Sports,no
2019-07-31,Mary Kom,12.0,IN-MN,61360,3,Sports,no
2019-08-31,Mary Kom,12.75,IN-MN,58322,3,Sports,no
2019-09-30,Mary Kom,12.0,IN-MN,56168,17,Sports,no
2019-10-31,Mary Kom,17.5,IN-MN,74297,41,Sports,no
2019-11-30,Mary Kom,11.5,IN-MN,63576,15,Sports,no
2019-12-31,Mary Kom,15.8,IN-MN,71814,14,Sports,no
2020-01-31,Mary Kom,11.75,IN-MN,71537,17,Sports,no
2020-02-29,Mary Kom,10.0,IN-MN,48280,7,Sports,no
2020-03-31,Mary Kom,10.2,IN-MN,48116,4,Sports,no
2020-04-30,Mary Kom,7.5,IN-MN,35966,8,Sports,no
2020-05-31,Mary Kom,7.2,IN-MN,32894,8,Sports,no
2020-06-30,Mary Kom,6.5,IN-MN,29037,8,Sports,no
2020-07-31,Mary Kom,9.5,IN-MN,48008,2,Sports,no
2020-08-31,Mary Kom,10.2,IN-MN,46573,3,Sports,no
2020-09-30,Mary Kom,9.0,IN-MN,40763,7,Sports,no
2020-10-31,Mary Kom,8.75,IN-MN,41331,5,Sports,no
2020-11-30,Mary Kom,13.8,IN-MN,74181,18,Sports,no
2020-12-31,Mary Kom,9.5,IN-MN,41975,8,Sports,no
2016-01-31,Akshay Kumar,49.6,IN-PB,509980,7,Cinema,yes
2016-02-29,Akshay Kumar,40.0,IN-PB,328834,11,Cinema,yes
2016-03-31,Akshay Kumar,36.5,IN-PB,283430,6,Cinema,yes
2016-04-30,Akshay Kumar,34.75,IN-PB,271493,20,Cinema,yes
2016-05-31,Akshay Kumar,38.4,IN-PB,312429,22,Cinema,yes
2016-06-30,Akshay Kumar,43.75,IN-PB,352768,12,Cinema,yes
2016-07-31,Akshay Kumar,49.8,IN-PB,341816,11,Cinema,yes
2016-08-31,Akshay Kumar,65.5,IN-PB,496367,41,Cinema,yes
2016-09-30,Akshay Kumar,47.75,IN-PB,343358,18,Cinema,yes
2016-10-31,Akshay Kumar,42.2,IN-PB,311696,23,Cinema,yes
2016-11-30,Akshay Kumar,45.75,IN-PB,344832,9,Cinema,yes
2016-12-31,Akshay Kumar,47.0,IN-PB,290291,23,Cinema,yes
2017-01-31,Akshay Kumar,46.0,IN-PB,329500,3,Cinema,yes
2017-02-28,Akshay Kumar,48.75,IN-PB,373223,16,Cinema,yes
2017-03-31,Akshay Kumar,46.25,IN-PB,295213,7,Cinema,yes
2017-04-30,Akshay Kumar,48.0,IN-PB,376295,23,Cinema,yes
2017-05-31,Akshay Kumar,41.0,IN-PB,283202,4,Cinema,yes
2017-06-30,Akshay Kumar,46.5,IN-PB,238642,12,Cinema,yes
2017-07-31,Akshay Kumar,53.2,IN-PB,288038,33,Cinema,yes
2017-08-31,Akshay Kumar,59.0,IN-PB,404770,36,Cinema,yes
2017-09-30,Akshay Kumar,40.0,IN-PB,324978,15,Cinema,yes
2017-10-31,Akshay Kumar,36.0,IN-PB,287162,8,Cinema,yes
2017-11-30,Akshay Kumar,32.0,IN-PB,258302,14,Cinema,yes
2017-12-31,Akshay Kumar,37.2,IN-PB,325774,13,Cinema,yes
2018-01-31,Akshay Kumar,37.75,IN-PB,318392,19,Cinema,yes
2018-02-28,Akshay Kumar,40.25,IN-PB,295262,6,Cinema,yes
2018-03-31,Akshay Kumar,45.75,IN-PB,422886,10,Cinema,yes
2018-04-30,Akshay Kumar,39.8,IN-PB,217655,10,Cinema,yes
2018-05-31,Akshay Kumar,45.5,IN-PB,217219,5,Cinema,yes
2018-06-30,Akshay Kumar,51.75,IN-PB,221710,18,Cinema,yes
2018-07-31,Akshay Kumar,62.2,IN-PB,256415,22,Cinema,yes
2018-08-31,Akshay Kumar,83.0,IN-PB,310539,40,Cinema,yes
2018-09-30,Akshay Kumar,81.4,IN-PB,294961,14,Cinema,yes
2018-10-31,Akshay Kumar,83.75,IN-PB,214743,11,Cinema,yes
2018-11-30,Akshay Kumar,82.75,IN-PB,262478,46,Cinema,yes
2018-12-31,Akshay Kumar,84.6,IN-PB,360752,26,Cinema,yes
2019-01-31,Akshay Kumar,72.5,IN-PB,303401,11,Cinema,yes
2019-02-28,Akshay Kumar,65.75,IN-PB,221899,11,Cinema,yes
2019-03-31,Akshay Kumar,74.8,IN-PB,318948,8,Cinema,yes
2019-04-30,Akshay Kumar,78.0,IN-PB,321578,14,Cinema,yes
2019-05-31,Akshay Kumar,71.5,IN-PB,412081,18,Cinema,yes
2019-06-30,Akshay Kumar,66.6,IN-PB,203741,3,Cinema,yes
2019-07-31,Akshay Kumar,73.0,IN-PB,274049,17,Cinema,yes
2019-08-31,Akshay Kumar,80.25,IN-PB,384974,22,Cinema,yes
2019-09-30,Akshay Kumar,70.6,IN-PB,351007,23,Cinema,yes
2019-10-31,Akshay Kumar,77.0,IN-PB,365943,6,Cinema,yes
2019-11-30,Akshay Kumar,87.75,IN-PB,367504,20,Cinema,yes
2019-12-31,Akshay Kumar,72.6,IN-PB,403244,46,Cinema,yes
2020-01-31,Akshay Kumar,61.25,IN-PB,352849,16,Cinema,yes
2020-02-29,Akshay Kumar,48.25,IN-PB,243319,14,Cinema,yes
2020-03-31,Akshay Kumar,63.8,IN-PB,400313,20,Cinema,yes
2020-04-30,Akshay Kumar,61.0,IN-PB,456480,24,Cinema,yes
2020-05-31,Akshay Kumar,50.0,IN-PB,369131,40,Cinema,yes
2020-06-30,Akshay Kumar,49.0,IN-PB,383800,24,Cinema,yes
2020-07-31,Akshay Kumar,47.0,IN-PB,312423,20,Cinema,yes
2020-08-31,Akshay Kumar,46.4,IN-PB,283029,19,Cinema,yes
2020-09-30,Akshay Kumar,57.5,IN-PB,370551,37,Cinema,yes
2020-10-31,Akshay Kumar,38.0,IN-PB,224557,21,Cinema,yes
2020-11-30,Akshay Kumar,40.8,IN-PB,255527,26,Cinema,yes
2020-12-31,Akshay Kumar,39.75,IN-PB,242031,6,Cinema,yes
2016-01-31,Amitabh Bachchan,7.8,IN-UP,293664,10,Cinema,no
2016-02-29,Amitabh Bachchan,9.5,IN-UP,268637,17,Cinema,no
2016-03-31,Amitabh Bachchan,10.0,IN-UP,310380,9,Cinema,no
2016-04-30,Amitabh Bachchan,7.75,IN-UP,246156,10,Cinema,no
2016-05-31,Amitabh Bachchan,7.0,IN-UP,231557,7,Cinema,no
2016-06-30,Amitabh Bachchan,11.25,IN-UP,308357,10,Cinema,no
2016-07-31,Amitabh Bachchan,7.6,IN-UP,241891,8,Cinema,no
2016-08-31,Amitabh Bachchan,7.5,IN-UP,221923,6,Cinema,no
2016-09-30,Amitabh Bachchan,10.5,IN-UP,297450,12,Cinema,no
2016-10-31,Amitabh Bachchan,10.0,IN-UP,293225,23,Cinema,no
2016-11-30,Amitabh Bachchan,8.0,IN-UP,227040,9,Cinema,no
2016-12-31,Amitabh Bachchan,9.5,IN-UP,255034,12,Cinema,no
2017-01-31,Amitabh Bachchan,13.4,IN-UP,378931,12,Cinema,no
2017-02-28,Amitabh Bachchan,8.5,IN-UP,219422,9,Cinema,no
2017-03-31,Amitabh Bachchan,9.0,IN-UP,241810,3,Cinema,no
2017-04-30,Amitabh Bachchan,8.4,IN-UP,269962,8,Cinema,no
2017-05-31,Amitabh Bachchan,7.75,IN-UP,233625,13,Cinema,no
2017-06-30,Amitabh Bachchan,8.0,IN-UP,195667,15,Cinema,no
2017-07-31,Amitabh Bachchan,8.6,IN-UP,218718,20,Cinema,no
2017-08-31,Amitabh Bachchan,8.75,IN-UP,226456,21,Cinema,no
2017-09-30,Amitabh Bachchan,8.0,IN-UP,272845,38,Cinema,no
2017-10-31,Amitabh Bachchan,11.0,IN-UP,435120,34,Cinema,yes
2017-11-30,Amitabh Bachchan,7.0,IN-UP,217499,26,Cinema,no
2017-12-31,Amitabh Bachchan,8.8,IN-UP,290219,15,Cinema,no
2018-01-31,Amitabh Bachchan,7.5,IN-UP,228688,23,Cinema,no
2018-02-28,Amitabh Bachchan,12.25,IN-UP,275475,133,Cinema,no
2018-03-31,Amitabh Bachchan,12.5,IN-UP,344895,20,Cinema,no
2018-04-30,Amitabh Bachchan,10.6,IN-UP,225048,39,Cinema,no
2018-05-31,Amitabh Bachchan,11.5,IN-UP,241549,16,Cinema,no
2018-06-30,Amitabh Bachchan,12.0,IN-UP,198742,4,Cinema,no
2018-07-31,Amitabh Bachchan,14.0,IN-UP,252365,14,Cinema,no
2018-08-31,Amitabh Bachchan,17.25,IN-UP,274361,13,Cinema,no
2018-09-30,Amitabh Bachchan,20.6,IN-UP,288752,43,Cinema,no
2018-10-31,Amitabh Bachchan,23.75,IN-UP,358827,21,Cinema,yes
2018-11-30,Amitabh Bachchan,20.0,IN-UP,275547,14,Cinema,no
2018-12-31,Amitabh Bachchan,18.6,IN-UP,234544,26,Cinema,no
2019-01-31,Amitabh Bachchan,17.25,IN-UP,257038,20,Cinema,no
2019-02-28,Amitabh Bachchan,14.75,IN-UP,174162,9,Cinema,no
2019-03-31,Amitabh Bachchan,18.8,IN-UP,237358,12,Cinema,no
2019-04-30,Amitabh Bachchan,17.0,IN-UP,191113,6,Cinema,no
2019-05-31,Amitabh Bachchan,17.0,IN-UP,185906,4,Cinema,no
2019-06-30,Amitabh Bachchan,17.8,IN-UP,184204,4,Cinema,no
2019-07-31,Amitabh Bachchan,19.25,IN-UP,205121,5,Cinema,no
2019-08-31,Amitabh Bachchan,20.75,IN-UP,313835,12,Cinema,no
2019-09-30,Amitabh Bachchan,20.2,IN-UP,347147,15,Cinema,no
2019-10-31,Amitabh Bachchan,24.25,IN-UP,347381,20,Cinema,yes
2019-11-30,Amitabh Bachchan,19.75,IN-UP,278327,13,Cinema,no
2019-12-31,Amitabh Bachchan,16.0,IN-UP,261599,11,Cinema,no
2020-01-31,Amitabh Bachchan,13.75,IN-UP,217203,20,Cinema,no
2020-02-29,Amitabh Bachchan,12.75,IN-UP,199857,4,Cinema,no
2020-03-31,Amitabh Bachchan,14.6,IN-UP,243101,29,Cinema,no
2020-04-30,Amitabh Bachchan,20.5,IN-UP,444558,23,Cinema,yes
2020-05-31,Amitabh Bachchan,13.6,IN-UP,468985,16,Cinema,yes
2020-06-30,Amitabh Bachchan,12.5,IN-UP,286741,12,Cinema,no
2020-07-31,Amitabh Bachchan,53.0,IN-UP,731014,43,Cinema,yes
2020-08-31,Amitabh Bachchan,12.8,IN-UP,237030,18,Cinema,no
2020-09-30,Amitabh Bachchan,11.75,IN-UP,217355,31,Cinema,no
2020-10-31,Amitabh Bachchan,12.5,IN-UP,263204,20,Cinema,no
2020-11-30,Amitabh Bachchan,9.2,IN-UP,201006,26,Cinema,no
2020-12-31,Amitabh Bachchan,9.75,IN-UP,221503,43,Cinema,no
